YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2M_MAX,T2M_MIN,TS,WS10M,WD10M,WS50M,WD50M,PS,PRECTOTCORR,RH2M
1983,3,20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.03,3.07,24.7,5.75,14.8,2.27,245.62,3.33,230.62,97.26,0.0,51.75
1983,3,21,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.55,5.72,25.13,8.73,17.35,1.45,129.12,1.96,121.06,97.16,0.22,53.69
1983,3,22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.26,8.37,26.23,11.45,18.83,2.16,184.06,3.3,184.62,97.04,1.19,55.81
1983,3,23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.26,10.99,24.85,11.07,18.5,2.14,182.44,3.3,183.88,96.82,0.87,70.19
1983,3,24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.34,9.35,22.98,10.88,15.98,3.72,145.31,5.16,145.62,96.18,1.44,66.12
1983,3,25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.25,6.5,24.48,9.32,16.79,5.99,288.56,8.12,288.0,95.45,0.39,56.69
1983,3,26,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.13,0.45,18.76,6.68,12.81,7.55,298.56,10.13,299.31,96.15,0.04,47.69
1983,3,27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.72,3.65,20.5,5.51,13.95,3.25,253.62,4.99,255.06,96.15,0.21,58.69
1983,3,28,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.79,2.15,20.4,5.41,12.79,5.91,220.25,8.48,220.25,95.52,0.11,54.81
1983,3,29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.5,2.3,14.94,5.51,10.89,5.09,141.56,6.75,141.25,95.81,1.74,60.88
1983,3,30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.75,6.62,15.26,6.57,10.81,13.17,40.38,16.51,26.44,95.42,2.24,76.31
1983,3,31,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.81,5.01,15.65,5.21,11.23,9.85,330.75,12.88,331.44,95.77,0.75,68.88
1983,4,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.73,2.23,22.37,3.51,13.3,5.42,257.62,8.14,258.75,95.86,0.0,54.81
1983,4,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.91,2.46,22.47,6.98,14.59,3.95,186.69,5.69,188.81,95.93,0.01,51.81
1983,4,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.39,5.92,21.11,6.46,14.81,3.83,86.06,5.48,86.56,96.2,0.17,64.94
1983,4,4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.44,6.22,17.87,6.4,13.62,2.12,70.5,3.03,67.69,96.35,0.17,68.75
1983,4,5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.2,2.87,21.19,5.41,14.27,4.16,317.0,6.17,316.44,96.69,0.0,56.19
1983,4,6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.65,3.96,23.13,5.76,15.81,3.28,266.0,4.85,268.44,96.87,0.0,55.38
1983,4,7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.17,4.7,25.65,9.05,18.6,2.15,237.5,3.27,240.69,96.94,0.0,49.44
1983,4,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.1,4.8,26.6,8.26,18.15,2.38,216.19,3.34,217.56,97.29,0.0,53.44
1983,4,9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.17,5.97,27.51,9.76,19.86,2.38,147.25,3.82,149.38,97.37,0.0,50.62
1983,4,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.61,4.31,30.19,10.55,20.37,2.8,212.19,4.11,214.69,97.28,0.0,43.94
1983,4,11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.54,1.65,32.1,11.94,21.67,4.8,244.94,7.35,246.0,97.13,0.0,31.5
1983,4,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.54,1.58,31.74,12.18,22.0,6.34,235.69,8.83,250.81,96.86,0.01,31.94
1983,4,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.55,1.33,20.65,7.0,15.31,6.13,298.25,7.87,297.0,97.32,0.01,47.19
1983,4,14,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.48,-0.31,21.19,4.77,14.65,3.23,240.81,4.82,238.81,97.48,0.0,47.81
1983,4,15,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.3,1.44,20.61,4.89,14.13,3.6,170.62,5.26,184.31,97.56,0.0,53.62
1983,4,16,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.22,2.68,22.94,5.55,15.49,3.82,176.44,5.18,164.06,97.29,0.0,49.94
1983,4,17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.45,5.12,26.29,9.8,18.15,4.92,221.44,6.95,222.31,96.71,0.0,48.19
1983,4,18,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.31,5.15,27.62,12.93,20.49,5.1,185.69,7.55,186.56,96.2,0.0,41.5
1983,4,19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.56,7.46,32.45,14.25,22.87,3.12,94.0,4.5,97.0,96.08,0.0,46.25
1983,4,20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.9,8.08,29.12,13.33,21.52,4.37,99.06,5.74,84.88,96.79,0.0,50.12
1983,4,21,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.44,7.58,31.4,14.1,21.42,3.5,198.5,4.57,199.31,96.78,0.02,45.94
1983,4,22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.2,4.31,21.77,10.86,16.16,2.77,144.56,4.16,147.12,97.17,0.06,50.38
1983,4,23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.97,8.8,23.3,10.6,17.83,3.62,155.5,4.91,156.25,96.64,0.0,61.12
1983,4,24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.8,9.08,24.76,11.68,19.29,4.04,80.0,5.6,79.94,96.63,0.03,60.5
1983,4,25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.94,8.51,26.64,10.1,19.81,3.27,89.38,4.56,89.62,96.75,0.0,59.75
